t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
0 1.5 0 5400 0 1081.34 12 1.0419e+06
0.1 1.5079 0 18769 -13369 -983.983 11.4145 -636300
0.2 1.51945 0 3237.64 2162.36 1637.7 12.5381 -643017
0.3 1.5346 0 5201.68 198.325 441.414 13.8426 -652910
0.4 1.54093 0 5527.27 -127.266 536.642 11.143 -665995
0.5 1.55218 0 5390.42 9.58433 577.099 12.6548 -671500
0.6 1.56481 0 5404.18 -4.18174 578.927 13.1944 -681338
0.7 1.57362 0 5408.69 -8.68697 592.94 12.0409 -692469
0.8 1.5756 0 5403.99 -3.98566 602.239 10.0696 -700296
0.9 1.58819 0 5401.71 -1.70898 606.337 13.3583 -702054
1 1.59484 0 5408.46 -8.46386 618.987 11.5148 -713317
1.1 1.59802 0 5403.06 -3.05662 626.883 10.516 -719309
1.2 1.60228 0 5401.66 -1.65594 630.512 10.8504 -722176
1.3 1.60946 0 5403.3 -3.29825 635.861 11.7539 -726029
1.4 1.61413 0 5404.68 -4.68143 643.856 11.0269 -732558
1.5 1.62429 0 5403.44 -3.43523 650.681 12.79 -736809
1.6 1.63689 0 5407.69 -7.69313 662.977 13.758 -746120
1.7 1.6492 0 5408.68 -8.67907 678.468 13.7558 -757735
1.8 1.6547 0 5407.28 -7.28268 692.409 11.4874 -769180
1.9 1.66693 0 5403.77 -3.77455 700.815 13.8794 -774312
2 1.67242 0 5408.38 -8.37726 714.219 11.5852 -785806
2.1 1.68088 0 5403.37 -3.36649 722.515 12.5975 -790993
2.2 1.68903 0 5406.24 -6.23851 732.732 12.5456 -799013
2.3 1.69402 0 5405.3 -5.30332 742.85 11.5488 -806774
2.4 1.70399 0 5403.82 -3.82489 750.487 13.3065 -811549
2.5 1.70917 0 5407.16 -7.16042 762.198 11.6941 -821133
2.6 1.71946 0 5403.86 -3.86067 770.674 13.5569 -826131
2.7 1.72805 0 5407.97 -7.97076 783.542 12.9729 -836114
2.8 1.73858 0 5406.43 -6.43434 795.987 13.8204 -844480
2.9 1.74713 0 5407.81 -7.81253 809.723 13.1008 -854812
3 1.75547 0 5406.14 -6.13784 821.684 13.0897 -863232
3.1 1.76404 0 5406.35 -6.34703 833.229 13.2415 -871496
3.2 1.76904 0 5406.06 -6.06391 844.465 11.9951 -880023
3.3 1.77826 0 5404.01 -4.0084 852.683 13.6193 -885025
3.4 1.77824 0 5406.33 -6.33247 863.305 10.3994 -894273
3.5 1.77872 0 5398.65 1.34573 864.094 10.5672 -894248
3.6 1.78489 0 5401.36 -1.35872 865.438 12.5043 -894738
3.7 1.79363 0 5406.23 -6.23112 874.794 13.5516 -900958
3.8 1.80036 0 5406.98 -6.98133 887.273 12.8167 -909800
3.9 1.80102 0 5404 -4.00475 895.875 10.7387 -916638
4 1.80089 0 5399.42 0.576992 896.76 10.4803 -917310
4.1 1.80547 0 5400.58 -0.582381 897.336 12.0783 -917179
4.2 1.8087 0 5404.25 -4.24844 903.569 11.635 -921852
4.3 1.81051 0 5402.15 -2.1456 908.394 11.1674 -925155
4.4 1.8177 0 5402.11 -2.10622 912.271 13.1267 -927004
4.5 1.81808 0 5405.58 -5.57924 921.025 10.735 -934385
4.6 1.82583 0 5400.46 -0.464104 924.045 13.4152 -934771
4.7 1.8266 0 5406.32 -6.31905 933.145 10.9136 -942756
4.8 1.82984 0 5399.98 0.0228381 935.792 11.7639 -943556
4.9 1.83308 0 5403.01 -3.01155 940.026 11.7844 -946903
5 1.84084 0 5403.52 -3.52361 946.268 13.5466 -950257
5.1 1.8402 0 5405.72 -5.72066 955.822 10.5166 -958318
5.2 1.83377 0 5397.07 2.93258 954.116 8.44785 -957659
5.3 1.83263 0 5394.59 5.40744 945.253 10.3053 -950979
5.4 1.82633 0 5399.11 0.889264 941.707 8.46526 -949788
5.5 1.82288 0 5394.49 5.51211 933.564 9.47845 -943278
5.6 1.82646 0 5398.8 1.20454 929.529 11.8602 -939714
5.7 1.82012 0 5402.43 -2.42775 932.439 8.41973 -943403
5.8 1.81799 0 5393.88 6.11893 924.847 9.90168 -936873
5.9 1.81951 0 5399.53 0.474008 921.585 11.1241 -934675
6 1.81291 0 5400.53 -0.534471 922.137 8.27764 -936244
6.1 1.80793 0 5393.54 6.45691 913.266 8.8711 -929458
6.2 1.80363 0 5396.35 3.65043 905.385 9.0926 -924364
6.3 1.80367 0 5397.45 2.5498 900.244 10.5482 -919974
6.4 1.80005 0 5400.09 -0.0855421 899.284 9.31407 -920010
6.5 1.79803 0 5396.78 3.21816 894.785 9.84197 -916326
6.6 1.79501 0 5398.44 1.55523 891.23 9.49398 -914266
6.7 1.7939 0 5397.79 2.21197 887.453 10.1228 -911199
6.8 1.78824 0 5398.65 1.35267 884.61 8.52699 -910069
6.9 1.78508 0 5395.23 4.77241 877.312 9.4011 -904337
7 1.77887 0 5397.4 2.60442 871.619 8.26965 -901148
7.1 1.7761 0 5395.25 4.74885 863.823 9.48862 -894883
7.2 1.77791 0 5399.1 0.898128 860.544 10.9931 -892097
7.3 1.77569 0 5401.5 -1.49633 862.272 9.67144 -893922
7.4 1.77342 0 5397.6 2.3971 859.529 9.64362 -891694
7.5 1.7715 0 5398.26 1.74237 856.057 9.74944 -889416
7.6 1.77582 0 5399.61 0.390375 854.769 11.8025 -887489
7.7 1.77761 0 5403.91 -3.90658 860.107 10.9846 -891815
7.8 1.77248 0 5399.87 0.125779 861.587 8.649 -893620
7.9 1.7684 0 5395.06 4.93944 854.574 9.00668 -888466
8 1.76285 0 5396.8 3.19775 847.974 8.44996 -884381
8.1 1.75726 0 5395.54 4.45587 840.34 8.41338 -878837
8.2 1.75264 0 5395.86 4.13553 832.623 8.74198 -873281
8.3 1.75711 0 5398.08 1.91637 828.17 11.7438 -868687
8.4 1.75271 0 5403.37 -3.37437 832.112 8.8242 -873126
8.5 1.75247 0 5395.95 4.04613 827.841 10.2021 -868761
8.6 1.74704 0 5399.56 0.436109 825.511 8.42571 -868519
8.7 1.74119 0 5395.12 4.8825 818.447 8.23585 -863150
8.8 1.74049 0 5396.31 3.69162 811.175 10.0018 -857373
8.9 1.73842 0 5400.08 -0.0798821 809.723 9.54794 -856690
9 1.73494 0 5398.02 1.98179 806.964 9.06244 -854654
9.1 1.73463 0 5397.65 2.34964 802.813 10.0953 -851235
9.2 1.73274 0 5400.01 -0.0110787 801.833 9.58124 -850929
9.3 1.73458 0 5398.95 1.05375 800.352 10.7721 -849078
9.4 1.73476 0 5401.64 -1.63651 802.212 10.2526 -850876
9.5 1.73475 0 5399.87 0.125868 802.728 10.1906 -851055
9.6 1.73264 0 5399.61 0.391127 802.124 9.51097 -851041
9.7 1.73678 0 5399.11 0.8885 800.706 11.5168 -848980
9.8 1.73662 0 5403.34 -3.34143 805.037 10.1516 -853039
9.9 1.73121 0 5398.43 1.56858 804.244 8.36351 -852877
10 1.72559 0 5395.13 4.87112 796.715 8.25618 -847580
10.1 1.7279 0 5397.08 2.91877 790.537 10.8864 -842085
10.2 1.72818 0 5402.59 -2.5891 792.948 10.2517 -844337
10.3 1.72227 0 5398.94 1.05907 792.553 8.12929 -844610
10.4 1.72149 0 5395.47 4.52852 785.724 9.88578 -838841
10.5 1.71757 0 5399.73 0.271998 783.42 8.83569 -838082
10.6 1.72158 0 5397.92 2.0777 780.378 11.3922 -834271
10.7 1.72728 0 5404.32 -4.31652 785.579 11.9699 -838175
10.8 1.72355 0 5403.02 -3.02273 791.668 8.92625 -843731
10.9 1.72855 0 5397.15 2.84929 788.935 11.751 -840089
11 1.72878 0 5404.25 -4.2465 793.71 10.2374 -844975
11.1 1.73161 0 5399.93 0.0694359 795.413 11.0715 -845195
11.2 1.72676 0 5401.22 -1.22368 797.108 8.54885 -847966
11.3 1.732 0 5396.88 3.11873 793.232 11.8455 -843228
11.4 1.72623 0 5403.64 -3.64148 797.041 8.20211 -848346
11.5 1.72154 0 5394.33 5.67498 790.589 8.58138 -842704
11.6 1.71821 0 5396.85 3.15057 783.743 9.04097 -838131
11.7 1.7225 0 5399.02 0.982002 781.024 11.4867 -834895
11.8 1.72046 0 5403.27 -3.27043 785.215 9.47478 -839073
11.9 1.72289 0 5398.24 1.75536 784.129 10.8996 -837082
12 1.72235 0 5401.94 -1.93842 786.116 9.96729 -839448
12.1 1.7238 0 5399.53 0.47136 786.273 10.5963 -838927
12.2 1.7243 0 5401.17 -1.17123 787.724 10.3015 -840336
12.3 1.72099 0 5399.67 0.334514 787.749 9.05842 -840821
12.4 1.71537 0 5396.64 3.36024 782.873 8.21217 -837595
12.5 1.71643 0 5396.59 3.40953 776.644 10.4404 -832137
12.6 1.7155 0 5401.47 -1.46964 777.269 9.80829 -833168
12.7 1.70983 0 5398.31 1.68871 775.513 8.16758 -832259
12.8 1.71209 0 5396.35 3.64893 769.655 10.7913 -826767
12.9 1.71784 0 5403.34 -3.34277 772.818 11.932 -828954
13 1.71908 0 5404.05 -4.04886 779.94 10.5098 -834536
13.1 1.72163 0 5400.39 -0.393444 782.211 10.9309 -835744
13.2 1.71666 0 5400.9 -0.896175 783.641 8.45598 -838226
13.3 1.71876 0 5396.38 3.62472 778.914 10.7751 -833386
13.4 1.71777 0 5402.08 -2.08325 780.312 9.80214 -835425
13.5 1.71924 0 5399.25 0.748381 780.141 10.5809 -834464
13.6 1.71859 0 5401.05 -1.05392 781.309 9.91464 -835892
13.7 1.71483 0 5398.77 1.22918 780.024 8.87819 -835264
13.8 1.71525 0 5397.42 2.57888 775.869 10.2358 -831613
13.9 1.71483 0 5400.81 -0.808082 775.914 9.9682 -832025
14 1.71294 0 5399.36 0.637822 775.358 9.48993 -831616
14.1 1.712 0 5398.52 1.48059 773.001 9.79096 -829779
14.2 1.71747 0 5400.44 -0.439619 772.993 11.8375 -828868
14.3 1.71263 0 5403.36 -3.35996 777.914 8.48999 -834175
14.4 1.71498 0 5396.06 3.93865 773.789 10.8348 -829484
14.5 1.71804 0 5402.83 -2.82517 776.099 11.0702 -831764
14.6 1.72053 0 5402.33 -2.32581 780.574 10.9078 -834729
14.7 1.71624 0 5400.65 -0.645226 782.469 8.6986 -837154
14.8 1.72118 0 5397.28 2.71783 778.914 11.6865 -832980
14.9 1.72304 0 5404.5 -4.5034 784.107 10.7221 -837781
15 1.71818 0 5399.93 0.0726891 785.914 8.5046 -839593
15.1 1.71404 0 5395.49 4.50614 779.534 8.7436 -834862
15.2 1.70918 0 5397.02 2.98285 773.42 8.46794 -830844
15.3 1.71486 0 5398.01 1.9866 769.356 11.8896 -826144
15.4 1.71938 0 5405.47 -5.4662 776.216 11.5427 -831644
15.5 1.72145 0 5402.77 -2.77208 782.439 10.7798 -836037
15.6 1.71684 0 5400.07 -0.06552 783.707 8.58694 -838051
15.7 1.71324 0 5395.82 4.17617 777.851 8.92729 -833562
15.8 1.70988 0 5397.59 2.4148 772.678 8.9914 -830073
15.9 1.71316 0 5398.64 1.35824 769.74 11.1182 -826815
16 1.71628 0 5403.31 -3.3109 773.829 11.0809 -829999
16.1 1.71416 0 5401.45 -1.4489 777.274 9.42245 -833023
16.2 1.7082 0 5397.06 2.93561 773.752 8.04575 -830966
16.3 1.70345 0 5395.32 4.68248 765.91 8.48262 -825193
16.4 1.70447 0 5397.66 2.33622 760.633 10.3697 -820614
16.5 1.70606 0 5401.67 -1.66598 761.99 10.5525 -821598
16.6 1.7107 0 5401.67 -1.67116 765.051 11.5332 -823127
16.7 1.70804 0 5402.66 -2.66433 769.513 9.21831 -827617
16.8 1.71224 0 5398.06 1.94091 767.908 11.4003 -825045
16.9 1.70772 0 5402.7 -2.69918 770.889 8.58051 -829108
17 1.71357 0 5397.08 2.92001 767.919 11.936 -824733
17.1 1.70912 0 5404.13 -4.12851 772.498 8.61423 -830388
17.2 1.71201 0 5396.46 3.54049 769.26 10.9876 -826085
17.3 1.71181 0 5402.61 -2.61317 771.44 10.0231 -828881
17.4 1.71708 0 5400.32 -0.315449 772.993 11.7696 -828685
17.5 1.71985 0 5404.2 -4.19733 779.041 10.9917 -833795
17.6 1.72034 0 5401.35 -1.34796 782.72 10.2803 -836491
17.7 1.71962 0 5399.8 0.198242 783.012 9.89496 -836968
17.8 1.71807 0 5399.19 0.809625 781.787 9.62381 -836264
17.9 1.72108 0 5399.45 0.545433 780.675 11.072 -834757
18 1.72312 0 5402.73 -2.729 784.289 10.7799 -837683
18.1 1.72547 0 5401.41 -1.41163 787.435 10.8875 -839673
18.2 1.72985 0 5402.06 -2.05808 790.934 11.5559 -841964
18.3 1.72861 0 5402.69 -2.68549 795.59 9.77178 -846244
